"text","label","","","","","","","","","","","","",""
"폭우 중 골프 자제, 국민의힘 윤리강령에 있다","사실","","","","","","","","","","","","",""
"지역 SOC사업 관련 군 단위에서 주민투표로 노선을 결정한 사례는 없다","사실","","","","","","","","","","","","",""
"닭요리와 관련된 ‘식중독’은 여름철에 더 잘 걸린다","사실","","","","","","","","","","","","",""
"지나친 사생활 질문, 직장 내 괴롭힘에 해당한다","사실","","","","","","","","","","","","",""
"중국에 있는 우리 국민에게는 참정권이 전혀 주어지지 않는다","사실","","","","","","","","","","","","",""
"미성년자의제강간죄는 합의하면 실형을 면한다","사실","","","","","","","","","","","","",""
"미성년자의제강간죄의 선고 형량은 양형 기준 기본형에 못 미친다","사실","","","","","","","","","","","","",""
"현행 제도상 민사소송 과정에서 발생하는 개인정보 노출을 막을 방법은 없다","사실","","","","","","","","","","","","",""
"범죄 피해자가 민사소송을 통해 손해배상을 받으려면, 집 주소를 가해자에게 알려주어야 한다","사실","","","","","","","","","","","","",""
"미성년자의제강간죄 피고인은 단일범보다 복합범이 더 많다","사실","","","","","","","","","","","","",""
"용산어린이정원, 오염도 때문에 '공원'이란 용어 사용 못 한다","사실","","","","","","","","","","","","",""
"윤석열 정부 근로손실일수는 역대 정부 최저다","사실","","","","","","","","","","","","",""
"대통령이 거부한 간호법안 국회에서 수정 재의결 불가능하다","사실","","","","","","","","","","","","",""
"업무방해죄로 노조 처벌하는 나라는 한국과 일본뿐이다","사실","","","","","","","","","","","","",""
"하루 1만보 이상 걷기보다 8000보 이상 걷기만 해도 오래산다","사실","","","","","","","","","","","","",""
"일제 강점기 조선인에 대한 강제노동과 강제연행 사실, 일본 법원은 인정했다","사실","","","","","","","","","","","","",""
"‘윤창호법’ 일부 조항 위헌 결정 이후 음주운전 사고 늘었다","사실","","","","","","","","","","","","",""
"그간 북한의 해킹은 ‘고도화’ 됐다","사실","","","","","","","","","","","","",""
"퇴근 후 주고받는 짧은 업무 연락도 근로시간에 해당된다","사실","","","","","","","","","","","","",""
"이한열·박종철 열사는 현행법상 국가유공자가 아니다","사실","","","","","","","","","","","","",""
"국내에서 벼농사 가장 많이 짓는 연령대는 70대 이상이다","사실","","","","","","","","","","","","",""
"정상 외교에 대해 국정조사 한 전례가 없다","사실","","","","","","","","","","","","",""
"봄철 동해안의 산불 피해가 유독 크다","사실","","","","","","","","","","","","",""
"반려동물을 안고 운전하는 것은 위법행위다","사실","","","","","","","","","","","","",""
"향토은행을 강조한 전북은행이 고금리 국면에 ‘이자장사’를 하고 있다","사실","","","","","","","","","","","","",""
"문래동 제2세종문화회관 건립을 공식적으로 철회하면서, 주민설명회(공청회)가 없었다","사실","","","","","","","","","","","","",""
"국내주식 보유 제한한 공직자윤리법, 해외주식엔 제한 없다","사실","","","","","","","","","","","","",""
"헌재, 과거에도 '검찰 수사권은 헌법상 권한 아니다' 결정했다","사실","","","","","","","","","","","","",""
"평택시 고덕지역 월세, 서울 강남보다 비싸다","사실","","","","","","","","","","","","",""
"정신과 질환 중 사망률 1위는 거식증이다","사실","","","","","","","","","","","","",""
"초등학생이 공유킥보드를 타면 처벌받을까?","사실","","","","","","","","","","","","",""
"국민의힘 강령, 정강정책에 5 18 민주화 운동 정신 이어간다고 명확하게 적시돼 있다","사실","","","","","","","","","","","","",""
"한국의 예금자 보호 정도는 해외 주요국과 비교했을때 미흡하다","사실","","","","","","","","","","","","",""
"한국-호주전 일본 국가 연주는 개최국 재량이다","사실","","","","","","","","","","","","",""
"지하철 (노령층) 무임승차로 서울교통공사 재정 적자가 가중되고 있다","사실","","","","","","","","","","","","",""
"작년 강원도 관광객 연인원이 1억 5천만 명이다","사실","","","","","","","","","","","","",""
"환자의 개인 정보를 활용한 의료인들의 개인적인 활동(매체 기고, 방송 출연 발언, 소셜미디어 활동 등)은 법적, 윤리적으로 문제가 있다","사실","","","","","","","","","","","","",""
"미국은 연장근로 한도가 없고, 일본은 월 최대 100시간 연 최대 720시간 연장근로를 허용한다","사실","","","","","","","","","","","","",""
"한동훈 법무부 장관의 체포동의 설명은 역대 최장이다","사실","","","","","","","","","","","","",""
"정부가 노조 재정장부·서류 들여다볼 근거 없다","사실","","","","","","","","","","","","",""
"서울시, ‘택시비 인상 따른 교통비 문제’ 대안 마련했다","사실","","","","","","","","","","","","",""
"국토부는 영종&인천대교 통행료 인하 약속 지키지 못했다","사실","","","","","","","","","","","","",""
"목욕탕 수 과거에 비해 줄었다","사실","","","","","","","","","","","","",""
"우리나라 육아휴직자  10명 중 3명은 남성이다","사실","","","","","","","","","","","","",""
"양곡창고 과반이 민주당 주요 지지 지역인 호남에 집중되어 있다","사실","","","","","","","","","","","","",""
"우리나라 지폐에 들어간 세종대왕의 초상화는 '상상 속 얼굴'이다","사실","","","","","","","","","","","","",""
"오세훈 시장이 재임 기간 공관을 사용하지 않겠다고 약속했다","사실","","","","","","","","","","","","",""
"대통령이 제1야당 대표와 이렇게 오래 안 만난 것은 처음이다","사실","","","","","","","","","","","","",""
"후불결제 서비스는 연체해도 신용점수 안 떨어진다","사실","","","","","","","","","","","","",""
"명절 차례상에 전을 올리지 않아도 된다","사실","","","","","","","","","","","","",""
"차례상에 홍동백서(紅東白西), 역사적 근거 없다","사실","","","","","","","","","","","","",""
"주택가격 상승이 출산율 하락에 미치는 영향이 크다","사실","","","","","","","","","","","","",""
"소선거구제로 양극화의 골이 깊어졌다","사실","","","","","","","","","","","","",""
"개정 교육과정은 주요 역사적 사건만 제한적으로 수록했다","사실","","","","","","","","","","","","",""
"헝가리에서는 출산 장려 정책으로 결혼율이 20% 늘었다","사실","","","","","","","","","","","","",""
"SRT 사고에 KTX와 코레일 직원이 투입됐다","사실","","","","","","","","","","","","",""
"‘한정판’ 자동차, 사고로 인한 가치하락 보상 시 희소가치는 인정되지 않는다","사실","","","","","","","","","","","","",""
"이준석 전 국민의힘 당대표 시절 국민의힘 지지율이 민주당에 뒤처진 적 없었다","사실","","","","","","","","","","","","",""
"국민의힘서 전당대회 앞두고 룰 개정, 과거에도 있었다","사실","","","","","","","","","","","","",""
"고의적 자해 사망률은 남자가 압도적으로 높다","사실","","","","","","","","","","","","",""
"야당이 예산안을 단독 감액 처리한 사례는 없다","사실","","","","","","","","","","","","",""
"한국의 건강보험 보장률이 OECD 최저 수준이다","사실","","","","","","","","","","","","",""
"국회선진화법' 이후엔 항상 정기국회 내 예산안 처리했다","사실","","","","","","","","","","","","",""
"미국·영국선 주소지 없어도 사회보장급여 신청할 수 있다","사실","","","","","","","","","","","","",""
"한국 출산율 세계 꼴찌다","사실","","","","","","","","","","","","",""
"대통령 취임 후 6개월 동안 야당 회동이 없었던 것이 처음이다","사실","","","","","","","","","","","","",""
"고장 난 출입문 열고  4개 정거장 달린 7호선, 매뉴얼 어겼다","사실","","","","","","","","","","","","",""
"각 분야 유명 스타트업이 흔들리고 있다","사실","","","","","","","","","","","","",""
"빈곤 포르노'는 사전과 논문, 언론에도 나오는 단어다","사실","","","","","","","","","","","","",""
"출근시간보다 일찍 회사에 나오라는 지시, 근로기준법 위반이다","사실","","","","","","","","","","","","",""
"출소한 성범죄자가 피해자와 같은 동네에 사는 것을 제한할 수 없다","사실","","","","","","","","","","","","",""
"과거 대형사고 발생 때 수사와 국회 국정조사 병행했다","사실","","","","","","","","","","","","",""
"냉동식품, 분할을 위해 일시적 해동 후 재냉동이 된 식품은 안전하다","사실","","","","","","","","","","","","",""
"경찰은 이태원 참사 당일 인파가 몰릴 것을 미리 예상했다","사실","","","","","","","","","","","","",""
"지금까지 핼러윈 시기에 경찰이 통제한 적이 있다","사실","","","","","","","","","","","","",""
"여객기 비상착륙 때는 승무원의 '반말 지시'가 원칙이다","사실","","","","","","","","","","","","",""
"경기도는 민방위 훈련 과정에서 안보교육을 하지 않고 있다","사실","","","","","","","","","","","","",""
"국정감사장에서 피켓 시위를 하는 것은 불법이다","사실","","","","","","","","","","","","",""
"제1야당 당사 압수수색은 군부독재 종식 후 처음이다","사실","","","","","","","","","","","","",""
"국민의힘 정강정책 1조 1항에 기본소득이 명시되어 있다","사실","","","","","","","","","","","","",""
"국제에너지기구에서 2025년까지 화석연료 보일러 사용 금지를 제안했다","사실","","","","","","","","","","","","",""
"차례상에 전 안 올려도 된다","사실","","","","","","","","","","","","",""
"대한민국의 남녀 임금 격차 선진국 가운데 가장 크다","사실","","","","","","","","","","","","",""
"신상공개법, '성범죄자 조심' 사진 보내면 처벌받는다","사실","","","","","","","","","","","","",""
"‘북한’ 빠진 유엔 총회 연설은 윤석열 대통령이 처음이다","사실","","","","","","","","","","","","",""
"프랑스·영국은 불법 노동쟁의에 대한 법적 면책 없다","사실","","","","","","","","","","","","",""
"고물가에 고가형 커피 인기는 줄고 저가형 커피가 인기다","사실","","","","","","","","","","","","",""
"스토킹 처벌이 약하다","사실","","","","","","","","","","","","",""
"‘자이언트 스텝’·‘울트라 스텝’은 한국산 용어다","사실","","","","","","","","","","","","",""
"서해 바닷물이 역류해 한강 둔치가 침수된다","사실","","","","","","","","","","","","",""
"다른 나라에선 자국만 우대하는 전기차 보조금 정책 펼친다","사실","","","","","","","","","","","","",""
"차례상에 전 안 올려도 되고 '홍동백서' '조율이시' 표현 없었다","사실","","","","","","","","","","","","",""
"고가 장신구 착용하고 출국할 땐 신고해야 한다","사실","","","","","","","","","","","","",""
"2023년도 5급 이하 공무원 급여, 사실상 삭감이다","사실","","","","","","","","","","","","",""
"미국 금리가 올라서 우리나라 주가가 떨어진다","사실","","","","","","","","","","","","",""
"‘여성이사 할당제’ 법 어겨도 처벌조항 없다","사실","","","","","","","","","","","","",""
"카타르 현지를 방문하는 모든 사람은 혼외정사가 철저히 금지된다","사실","","","","","","","","","","","","",""
"위암 치료는 우리나라가 세계 1등이다","사실","","","","","","","","","","","","",""
"탈원전 탓에 원전 경쟁력 후퇴했다","사실","","","","","","","","","","","","",""
"자동차와 함께 도로 위 질주하는 전동 킥보드 전용법 필요하다","사실","","","","","","","","","","","","",""
"오세훈 서울시장이 수방 및 치수 예산을 줄였다","사실","","","","","","","","","","","","",""
"경찰대 출신이 총경급 이상 고위직 60% 차지한다","사실","","","","","","","","","","","","",""
"종류 상관없이 야생동물 죽이면 범죄다","사실","","","","","","","","","","","","",""
"식욕억제제, 조현병 유발 위험 있다","사실","","","","","","","","","","","","",""
"정부 직제 개편안 입법예고 기간은 통상 5일이다","사실","","","","","","","","","","","","",""
"강화된 교차로 우회전 규정, 자전거도 적용된다","사실","","","","","","","","","","","","",""
"국내 판매되는 승용차의 평균 온실가스 배출량은 배출허용기준을 초과하고 있다","사실","","","","","","","","","","","","",""
"현금서비스를 받으면 신용점수가 떨어진다","사실","","","","","","","","","","","","",""
"첫 라운딩을 뜻하는 '머리 올리다'라는 표현은 여성 차별, 비하 발언에 해당된다","사실","","","","","","","","","","","","",""
"대세로 자리 잡은 1인 가구 행복도 낮다","사실","","","","","","","","","","","","",""
"공공기관 적정 실내온도 28℃인데 윤석열 대통령은 21℃에서 회의했다","사실","","","","","","","","","","","","",""
"학생이 수업을 방해해도 교사가 해결할 방법은 거의 없다","사실","","","","","","","","","","","","",""
"중고차 거래 시, 매매 상사로부터 받은 자동차 성능점검기록부 믿어도 된다","사실","","","","","","","","","","","","",""
"지난 20년 동안에 중국의 무역흑자를 빼면 10년 정도는 무역적자로 전락한다","사실","","","","","","","","","","","","",""
"반려동물 사체는 생활폐기물이다","사실","","","","","","","","","","","","",""
"모욕죄로 벌금형 받은 사람도 국가공무원 신규 임용 가능하다","사실","","","","","","","","","","","","",""
"대통령 결재 전 경찰 인사 발표 관행이었다","사실","","","","","","","","","","","","",""
"6‧1 지방선거 결과를 보면 호남의 국민의힘 지지율이 높아졌다","사실","","","","","","","","","","","","",""
"대통령 지정기록물은 정권이 바뀔 때마다 공개 여부 공방의 대상이 되고 있다","사실","","","","","","","","","","","","",""
"민주화 이후 행안장관의 경찰 감독권은 없어졌다","사실","","","","","","","","","","","","",""
"권성동 의원이 ‘국회 패싱 방지법’을 박근혜 땐 찬성하고, 지금은 반대한다","사실","","","","","","","","","","","","",""
"12일 북한이 쏜 방사포는 미사일에 준하지 않았다","사실","","","","","","","","","","","","",""
"국제적 관점에서 우리나라의 여성 고위직 진출률은 낮다","사실","","","","","","","","","","","","",""
"문재인 정부 들어 직업계고(특성화고 마이스터고) 입학율과 취업률이 현저히 떨어졌다","사실","","","","","","","","","","","","",""
"2019년 코로나 이전에는 국내선 여행객 중 약 51%가 김포-제주노선 여객이었고, 그에 반해 김해는 10%대에 그쳤다","사실","","","","","","","","","","","","",""
"공직자 인사검증 법무부에 맡길 법적 근거 없다","사실","","","","","","","","","","","","",""
"‘검수완박’ 법안이 통과돼도 검찰수사관은 수사를 할 수 있다","사실","","","","","","","","","","","","",""
"세빛섬에 서울시 예산이 한 푼도 들어간 게 없다","사실","","","","","","","","","","","","",""
"담배를 끊으면 살이 찐다","사실","","","","","","","","","","","","",""
"우리나라 코로나 방역 OECD 최상위권이다","사실","","","","","","","","","","","","",""
"코로나 방역 덕분에 잔병치레 줄었다","사실","","","","","","","","","","","","",""
"코로나19 위중증자에 대한 정부의 치료비 '전액' 지원, 환자가 격리 해제되면 끝난다","사실","","","","","","","","","","","","",""
"윤석열 정부 사외이사 이력 내각 후보자, 역대 정부 최다이다","사실","","","","","","","","","","","","",""
"MB 시절 청와대에 4대강 사업을 담당하는 비서관이 따로 있었다","사실","","","","","","","","","","","","",""
"헌재는 수사주체를 법률로 바꿀 수 있다고 봤다","사실","","","","","","","","","","","","",""
"문재인 정부 때 소득 증가율은 전 정부의 1/4이다","사실","","","","","","","","","","","","",""
"대우조선해양은 명백한 민간기업이다","사실","","","","","","","","","","","","",""
"코로나19 사망자 실제로는 더 많다","사실","","","","","","","","","","","","",""
